Film,Year,Director,Studio(s),Budget (est.),World wide gross (INR),World wide gross (USD),Gross in India (INR crore),Primary Language
Zero,2018,Anees bazmee,Yash Raj Films,₹200 crore,₹186,22.32,115.74,Hindi
Hichki,2018,Sidharth Malhotra,Yash Raj Films,,₹215.3,25.84,59.24,Hindi
2 . 0,2018,S. Shankar,Lyca Productions,500,₹620 crore,75.3,243.01,Tamil
Race 3,2018,Remo D'Souza,"Salman Khan Films
Tips Industries",₹150 crore,₹305,37.06,213.33,Hindi
Thugs Of Hindostan,2018,Vijay Krishna Acharya,Yash Raj Films,250,₹335,40.8,193.83,Hindi
Sanju,2018,Rajkumar Hirani,"Rajkumar Hirani Films
Vinod Chopra Films",₹96 crore,₹586.85 crore,85.81,439.14,Hindi
Badhaai Ho,2018,Amit Sharma,Junglee Pictures,,₹221.44,26.57,176.42,Hindi
Stree,2018,Amar Kaushik,AA films,,₹180.76,21.69,166.54,Hindi
Padmaavat,2018,Sanjay Leela Bhansali,"Bhansali Productions
Viacom 18 Motion Pictures",185,₹571.98 crore,84,387.37,Hindi
Baaghi 2,2018,Ahmed Khan,Nadiadwala Grandson,,₹254.33,30.52,210.74,Hindi
Andhadhun,2018,Sriram Raghavan,"Viacom 18 Motion Pictures
Matchbox Pictures",₹32 crore,₹456.89 crore,65,95.63,Hindi
Kabir Singh,2019,Sandeep Vanga,"Cine1 Studios
T-Series",₹150 crore,₹379.02,45.48,331.24,Hindi
Kesari,2019,Anurag singh,Cape of good films,,₹207.09,24.85,182.3,Hindi
Dream Girl,2019,Raaj Shaandilyaa,Pen Marudhar Entertainment,,₹200.8,24.1,169.36,Hindi
War,2019,Siddharth Anand,Yash Raj Films,₹150 crore,₹475.5 crore,60,378.46,Hindi
Bharat,2019,Ali Abbas Zafar,"Reel Life Productions
Salman Khan Films
T-Series",₹100 crore,₹325.58,39.5,251.27,Hindi
Uri - The Surgical Strike,2019,Aditya Dhar,RSVP Movies,₹25 crore,₹359.73,43.7,289.68,Hindi
Saaho,2019,Sujeeth,Yash Raj Films,₹350 crore,₹420,51.1,170.18,Telugu Hindi
Good Newwz,2019,Raj Mehta,"Zee Studios
Dharma Productions",₹70 crore,₹318.57,38.23,244.21,Hindi
Total Dhamaal,2019,Indra Kumar,Ajay Devgn Films,,₹228.27,27.39,182.09,Hindi
Dabangg 3,2019,Arbaaz Khan,Salman Khan Films,,₹230.93,27.71,173.94,Hindi
Gully Boy,2019,Zoya Akhtar,excel entertainment,,₹238.16,28.58,165.58,Hindi
Bala,2019,Amar Kaushik,AA films,,₹171.49,20.58,139.06,Hindi
Housefull 4,2019,farhad samji,"Nadiadwala Grandson Entertainment, Fox Star Studios",,₹280.27,33.63,231.67,Hindi
Mission Mangal,2019,Jagan Shakti,Hope Productions Fox Star Studios,,₹290.59,34.87,238.8,Hindi
Super 30,2019,Vikas Bahl,Nadiadwala Grandson,,₹208.93,25.07,172.87,Hindi
Chhichhore,2019,Nitesh Tiwari,Nadiadwala Grandson,,₹215.41,25.85,182.25,Hindi
Tanhaji - The Unsung Warrior,2020,Om Raut,"Ajay Devgn Films
T-Series",₹150 crore,₹367.65,44.12,332.8,Hindi
Sooryavanshi,2021,Rohit Shetty,Rohit Shetty Productions,₹160 crore,₹294.91,35.39,233.33,Hindi
83,2021,Kabir Khan,Reliance entertainment,250,₹193.73,23.25,129.79,Hindi
Drishyam 2,2021,Abhishek Pathak,"T-Series
Viacom18 Studios",₹25 crore,₹345.05,41.41,286.36,Hindi
The Kashmir Files,2022,Vivek Agnihotri,"Zee Studios
Abhishek Agarwal Arts",20,₹340.92,40.91,297.53,Hindi
K.G.F: Chapter 2,2022,Prashanth Neel,Hombale Films,₹100 crore,1225,147,"1,008",Kannada
RRR *,2022,S. S. Rajamouli,DVV Entertainments,₹550 crore,1316,157.92,944,Telugu
Gangubai Kathiawadi,2022,Sanjay Leela Bhansali,Bhansali Productions,,₹209.77,25.17,153.69,Hindi
Bhool Bhulaiyaa 2,2022,Anees bazmee,T-Series Films Cine1 Studios,,₹266.88,32.03,221.33,Hindi
Brahmāstra: Part One – Shiva,2022,Ayan Mukerji,"Star Studios
Dharma Productions",₹375 crore,₹431 crore,67,306.48,
Pathaan,2023,Siddharth Anand,Yash Raj Films,₹250 crore,1050,130,654.28,Hindi
Kisi Ka Bhai Kisi Ki Jaan,2023,farhad samji,Zee studios,,₹182.44,21.89,131.58,Hindi
Ponniyin Selvan: II,2023,Mani Ratnam,"Madras Talkies
Lyca Productions",₹250 crore,₹345,41.3,,Tamil
The Kerala Story,2023,Sudipto Sen,Vipul Amrutlal Shah,18,₹303.97,36.48,288.33,Hindi
Tu Jhoothi Main Makkaar,2023,Luv Ranjan,T-series,,₹220.1,26.41,177.44,Hindi
Adipurush,2023,Om Raut,"T-Series
Retrophiles",600,₹450 crore,56,270,Telugu Hindi
Don 2,2911,Farhan Akhtar,excel entertainment,,₹209.55,25.15,148.21,Hindi
